Sergio Fajardo hizo el oso en Bogota|Sergio Fajardo hacer_el_oso Bogota|-3
Petro es un populista y convertira a Colombia en Venezuela|Petro populista convertira Colombia Venezuela|-4
Fajardo esta perdiendo un gran cantidad de votantes por su falta de decision|Fajardo perdiendo gran cantidad votantes falta decision|-5
Claudia complementa de la mejor manera la campaña de Fajardo|Claudia complementa mejor manera campaña de Fajardo|3
Valle Con Fajardo en Twitter: ;?No paramos en el Valle! Hoy tuvimos una emocionante jornada en Cali de conversaciones ciudadanas. ;;?Porque somos #LaFuerzaDeLaEsperanza!;;?Nuestra sede es la calle! ;;#SePuede? https://t.co/UGPkvzZRZX;| ?no par valle! hoy tuvimos emocion jorn cali convers ciudadan #lafuerzadelaesperanza! ?nuestr sede calle! #sepuede?      |2
J. Andrés Ortiz en Twitter: ;Hoy me voy a dormir, no me pregunten como ni por qué,  con la sensación de que en las calles de Colombia se respira cierto aire de optimismo. Crece #LaFuerzaDeLaEsperanza hay confianza en @sergio_fajardo #SePuede;| hoy dorm  no pregunten sensacion calles colombi respir aire optim  crece #lafuerzadelaesper confianz @sergio_fajard #sepuede    |4
Joaquin Gallardo en Twitter: ;Don Sergio el FA son hijos de papá pseudo revolucionarios y los del PC una pila de pusilánimes que se llenan la boca con los derechos humanos pero solo cuando les afecta a ellos. No le pida ?? al Olmo https://t.co/OFHWqb6MpE;| don sergi FA hij pap pseud revolucionari PC pil pusilanimes llen boc derech human afect  No pid ?? olmo   |-3
Compromiso Ciudadano en Twitter: ;;La propuesta política nuestra es que no podemos construir una sociedad a partir del miedo. Tiene que haber un cambio para darle espacio a la inteligencia y las oportunidades. No nos quedemos en el miedo, nosotros somos la #FuerzaDeLaEsperanza;@sergio_fajardo #ConEducaciónSePuede https://t.co/lD2fqAXlOq;|  propuest politic no constru socied part mied  tiene cambi espaci inteligente oportun  No quedem mied  #fuerzadelaesper @sergio_fajard #coneducacionsepuede    |4
Marlene :c Gutiérrez en Twitter: ;Ese es el conflicto del alma de Álvaro Uribe, el hacer su sueño realidad emulando las maneras dominantes y totalitaristas que lo lleven a perpetuarse en el poder ??Envidia a Chavez y sufre gran frustración ante la figura de éste por no haberlo logrado todavía. https://t.co/3AqahA5Ob6;| conflict alma alvar uribe  sueñ realid emul maner domin totalitar lleven perpetuarse ??envidi chavez sufre frustracion figur no haberl logr todav      |4
Tenemos otra oportunidad de cambiar el rumbo del pa?s. Hay que aprovecharla. Hoy es el ?ltimo d?a para inscribir su c?dula. Consulten muy bien d?nde pueden hacerlo en https://t.co/hO3B2Y7omY. #ElEquipo. pic.twitter.com/nKxZHGw3xO&mdash; Fajardo Presidente (@sergio_fajardo) March 27, 2018		| |3
Valle Con Fajardo en Twitter: ;?No paramos en el Valle! Hoy tuvimos una emocionante jornada en Cali de conversaciones ciudadanas. ;;?Porque somos #LaFuerzaDeLaEsperanza!;;?Nuestra sede es la calle! ;;#SePuede? https://t.co/UGPkvzZRZX;| ?no par valle! hoy tuvimos emocion jorn cali convers ciudadan    #lafuerzadelaesperanza!  ?nuestr sede calle!   #sepuede?      |2
J. Andrés Ortiz en Twitter: ;Hoy me voy a dormir, no me pregunten como ni por qué,  con la sensación de que en las calles de Colombia se respira cierto aire de optimismo. Crece #LaFuerzaDeLaEsperanza hay confianza en @sergio_fajardo #SePuede;| hoy dorm  no pregunten   sensacion calles colombi respir aire optim  crece #lafuerzadelaesper confianz @sergio_fajard #sepuede    |4
Joaquin Gallardo en Twitter: ;Don Sergio el FA son hijos de papá pseudo revolucionarios y los del PC una pila de pusilánimes que se llenan la boca con los derechos humanos pero solo cuando les afecta a ellos. No le pida ?? al Olmo https://t.co/OFHWqb6MpE;| don sergi FA hij pap pseud revolucionari PC pil pusilanimes llen boc derech human afect  No pid ?? olmo   |-2
Compromiso Ciudadano en Twitter: ;;La propuesta política nuestra es que no podemos construir una sociedad a partir del miedo. Tiene que haber un cambio para darle espacio a la inteligencia y las oportunidades. No nos quedemos en el miedo, nosotros somos la #FuerzaDeLaEsperanza;@sergio_fajardo #ConEducaciónSePuede https://t.co/lD2fqAXlOq;|  propuest politic no constru socied part mied  tiene cambi espaci inteligente oportun  No quedem mied  #fuerzadelaesper @sergio_fajard #coneducacionsepuede    |4
Marlene :c Gutiérrez en Twitter: ;Ese es el conflicto del alma de Álvaro Uribe, el hacer su sueño realidad emulando las maneras dominantes y totalitaristas que lo lleven a perpetuarse en el poder ??Envidia a Chavez y sufre gran frustración ante la figura de éste por no haberlo logrado todavía. https://t.co/3AqahA5Ob6;| conflict alma alvar uribe  sueñ realid emul maner domin totalitar lleven perpetuarse ??envidi chavez sufre frustracion figur no haberl logr todav      |4
Tenemos otra oportunidad de cambiar el rumbo del pa?s. Hay que aprovecharla. Hoy es el ?ltimo d?a para inscribir su c?dula. Consulten muy bien d?nde pueden hacerlo en https://t.co/hO3B2Y7omY. #ElEquipo. pic.twitter.com/nKxZHGw3xO&mdash; Fajardo Presidente (@sergio_fajardo) March 27, 2018		| |3
Compromiso Ciudadano - Bogotá en Twitter: ;Con la Ciencia podremos entender el desarrollo desde la perspectiva territorial, de modo que se tenga en cuenta la diversidad propia de nuestro país y las respectivas agendas regionales. La ciencia, en suma, para nuestras vidas cotidianas: @sergio_fajardo ;#ConEducaciónSePuede https://t.co/pzq1FPflDd;| cienci podrem entend desarroll perspect territorial  tenga cuent divers propi respect agend regionales  cienci  sum  vidas cotidian  @sergio_fajard  #coneducacionsepuede   |5
Humberto de la Calle en Twitter: ;En un ejercicio de responsabilidad, con @sergio_fajardo vamos a buscar con calma la posibilidad de hacer una consulta, por el bien de Colombia. Tenemos nuestras coincidencias éticas y políticas. Antes, hay temas que debemos resolver. https://t.co/yvrzL351Gi;| ejercici responsabil  @sergio_fajard busc calm posibil consult  colombi  tenem coincidente etic  antes  tem debem resolv    |4
Quienes dejaron impoluto a Peirano fue la bancada del FA m?s Sergio Abreu, con respecto al horror de la ley antilavado debo revisar las actas, tengo la idea de que fue un?nime pero no estoy segura&mdash; TraficanteDeDerechos (@Agria2017) March 28, 2018		| |-2
Julio Sanchez Cristo en Twitter: ;Un buen candidato, Humberto de la Calle, quedó en el peor de los mundos... Con Fajardo, pero sin confirmar. Sujeto a visto bueno de la autoridad. Sin sus electores, que quedan molestos por no respetarse la consulta de los 40mil millones...;| Un buen candidat  humbert calle  qued peor mund    fajard  confirm  sujet buen autor  sin electores  molest no respetarse consult 40mil millones      |-4
Fajardo Presidente en Twitter: ;Hoy pasamos Al Tablero en @NoticiasCaracol. Sabemos que mantener la seguridad ciudadana es difícil y exigente. Por eso es necesaria la experiencia, haber gobernado. #FajardoPropone. #YLaSeguridadQué #ElEquipo https://t.co/zXDRnmWRXi;| hoy pas Al tabler @noticiascaracol  sabem manten segur ciudadan dificil exigente  necesari experiente  gobern  #fajardopropone  #ylaseguridadque #elequipo   |4
Compromiso Ciudadano en Twitter: ;#FajardoLogró para Antioquia el premio internacional de Dubai a las mejores prácticas para mejorar condiciones de vida- Décimo ciclo, 2015. https://t.co/FjUZCAlfie;| #fajardologr antioqui premi internacional dubai mejores practic mejor condiciones vida- decim cicl      |5
;La propuesta pol?tica nuestra es que no podemos construir una sociedad a partir del miedo. Tiene que haber un cambio para darle espacio a la inteligencia y las oportunidades. No nos quedemos en el miedo, nosotros somos la #FuerzaDeLaEsperanza;@sergio_fajardo #ConEducaci?nSePuede pic.twitter.com/xRu9cTzXEn&mdash; Compromiso Ciudadano (@compromisociu) March 21, 2018		| |4
Compromiso Antioquia en Twitter: ;;Hay que trabajar con las comunidades. Yo sé hacer eso y eso es fundamental para reducir todos estos elementos que atormentan a la ciudadanía;: @sergio_fajardo #FajardoPropone;|  hay comun  fundamental reduc element atorment ciudadan   @sergio_fajard #fajardopropone    |3
Toda Colombia va a saber c?mo vamos avanzando en nuestra educaci?n y va a ser nuestro orgullo nacional; pero tiene que pasar por la dignidad de los maestros y maestras, es una obligaci?n para hacer una transformaci?n. #ElEquipo #ConEducaci?nSePuede https://t.co/IyvLNOK3cK&mdash; Fajardo Presidente (@sergio_fajardo) March 26, 2018		| |3
